doi, ro 
https://doi.org/10.3390/atmos12081080, agriculture
https://doi.org/10.4060/cb7654en, agriculture
https://doi.org/10.1088/1748-9326/abf0cd, agriculture
https://doi.org/10.1111/jac.12191, agriculture
https://doi.org/10.1002/ird.1704, agriculture
https://doi.org/10.1016/j.jenvman.2023.118261, dams
http://doi.org/10.1088/1748-9326/acc196, dams
https://doi.org/10.1093/biosci/biad067, dams
https://doi.org/10.1016/j.wasec.2022.100112, dams
https://doi.org/10.1016/j.scitotenv.2017.08.308, dams
https://doi.org/10.1186/s40066-023-00409-5, fertilizer
https://doi.org/10.1016/j.scitotenv.2021.147283, fertilizer
https://doi.org/10.1007/s13762-022-04027-9, fertilizer
https://doi.org/10.1007/s13280-014-0545-4, fertilizer
